batch_id,file_path,n_search_queries,n_hotel_options,first_srch_id,last_srch_id
problem7_part_a_001,problem7_claude_batches/part_a/problem7_part_a_001.xlsx,100,1956,1,12132
problem7_part_a_002,problem7_claude_batches/part_a/problem7_part_a_002.xlsx,100,1807,12145,23080
problem7_part_a_003,problem7_claude_batches/part_a/problem7_part_a_003.xlsx,100,2027,23182,34295
problem7_part_a_004,problem7_claude_batches/part_a/problem7_part_a_004.xlsx,100,1911,34592,46908
problem7_part_a_005,problem7_claude_batches/part_a/problem7_part_a_005.xlsx,100,1857,47003,57719
problem7_part_a_006,problem7_claude_batches/part_a/problem7_part_a_006.xlsx,100,1833,57751,69545
problem7_part_a_007,problem7_claude_batches/part_a/problem7_part_a_007.xlsx,100,1928,69567,81253
problem7_part_a_008,problem7_claude_batches/part_a/problem7_part_a_008.xlsx,100,1863,81572,92109
problem7_part_a_009,problem7_claude_batches/part_a/problem7_part_a_009.xlsx,100,1693,92179,105007
problem7_part_a_010,problem7_claude_batches/part_a/problem7_part_a_010.xlsx,100,1952,105094,117030
problem7_part_a_011,problem7_claude_batches/part_a/problem7_part_a_011.xlsx,100,2025,117317,129744
problem7_part_a_012,problem7_claude_batches/part_a/problem7_part_a_012.xlsx,100,1969,130131,141870
problem7_part_a_013,problem7_claude_batches/part_a/problem7_part_a_013.xlsx,100,1749,141890,150945
problem7_part_a_014,problem7_claude_batches/part_a/problem7_part_a_014.xlsx,100,1846,150959,163078
problem7_part_a_015,problem7_claude_batches/part_a/problem7_part_a_015.xlsx,100,1685,163141,174931
problem7_part_a_016,problem7_claude_batches/part_a/problem7_part_a_016.xlsx,100,1893,174979,187592
problem7_part_a_017,problem7_claude_batches/part_a/problem7_part_a_017.xlsx,100,1773,187630,199482
problem7_part_a_018,problem7_claude_batches/part_a/problem7_part_a_018.xlsx,100,1792,199628,211319
problem7_part_a_019,problem7_claude_batches/part_a/problem7_part_a_019.xlsx,100,2019,211454,221492
problem7_part_a_020,problem7_claude_batches/part_a/problem7_part_a_020.xlsx,100,2040,221497,231019
problem7_part_a_021,problem7_claude_batches/part_a/problem7_part_a_021.xlsx,100,1846,231112,241150
problem7_part_a_022,problem7_claude_batches/part_a/problem7_part_a_022.xlsx,100,1943,241170,253020
problem7_part_a_023,problem7_claude_batches/part_a/problem7_part_a_023.xlsx,100,1885,253073,264639
problem7_part_a_024,problem7_claude_batches/part_a/problem7_part_a_024.xlsx,100,2064,264913,275697
problem7_part_a_025,problem7_claude_batches/part_a/problem7_part_a_025.xlsx,100,1816,275809,287060
