batch_id,file_path,n_search_queries,n_hotel_options,first_srch_id,last_srch_id
problem7_part_b_001,problem7_claude_batches/part_b/problem7_part_b_001.xlsx,100,2001,75,55666
problem7_part_b_002,problem7_claude_batches/part_b/problem7_part_b_002.xlsx,100,1787,56432,125559
problem7_part_b_003,problem7_claude_batches/part_b/problem7_part_b_003.xlsx,100,1794,125993,180257
problem7_part_b_004,problem7_claude_batches/part_b/problem7_part_b_004.xlsx,100,1980,181055,235013
problem7_part_b_005,problem7_claude_batches/part_b/problem7_part_b_005.xlsx,100,1989,236128,280218
problem7_part_b_006,problem7_claude_batches/part_b/problem7_part_b_006.xlsx,100,1917,282601,330494
problem7_part_b_007,problem7_claude_batches/part_b/problem7_part_b_007.xlsx,100,1875,330891,381110
problem7_part_b_008,problem7_claude_batches/part_b/problem7_part_b_008.xlsx,100,1835,381422,437968
problem7_part_b_009,problem7_claude_batches/part_b/problem7_part_b_009.xlsx,100,1961,438242,507273
problem7_part_b_010,problem7_claude_batches/part_b/problem7_part_b_010.xlsx,100,2017,508299,570156
problem7_part_b_011,problem7_claude_batches/part_b/problem7_part_b_011.xlsx,100,1984,570405,610493
problem7_part_b_012,problem7_claude_batches/part_b/problem7_part_b_012.xlsx,100,1897,610625,620278
problem7_part_b_013,problem7_claude_batches/part_b/problem7_part_b_013.xlsx,100,1798,620548,629600
problem7_part_b_014,problem7_claude_batches/part_b/problem7_part_b_014.xlsx,100,1534,629646,638340
problem7_part_b_015,problem7_claude_batches/part_b/problem7_part_b_015.xlsx,100,1710,638391,648664
problem7_part_b_016,problem7_claude_batches/part_b/problem7_part_b_016.xlsx,100,1654,648715,658735
problem7_part_b_017,problem7_claude_batches/part_b/problem7_part_b_017.xlsx,71,1232,658924,665550
